Date,Close
2022-01-01,103.2096074273831
2022-01-02,104.31161724677129
2022-01-03,110.05746595927546
2022-01-04,113.42357961590363
2022-01-05,114.80852582617622
2022-01-06,113.14698335066731
2022-01-07,109.47250331804545
2022-01-08,111.62214697785151
2022-01-09,113.74538481491854
2022-01-10,114.81438264544627
2022-01-11,114.76763194814355
2022-01-12,113.23727591514938
2022-01-13,113.70002851635329
2022-01-14,115.32748964369843
2022-01-15,114.46331152424005
2022-01-16,113.98681563158819
2022-01-17,117.39263795439172
2022-01-18,116.75819467609772
2022-01-19,115.8557996387208
2022-01-20,112.59181228709225
2022-01-21,109.19054239426926
2022-01-22,108.01440248158904
2022-01-23,109.31168664637683
2022-01-24,109.25674198948494
2022-01-25,111.63232383781485
2022-01-26,111.0497755618214
2022-01-27,112.62269745628156
2022-01-28,110.86463193429037
2022-01-29,109.65057271830503
2022-01-30,114.19725862914565
2022-01-31,114.30581970670113
2022-02-01,114.2282346849381
2022-02-02,117.06098466307033
2022-02-03,116.62556677762143
2022-02-04,117.65553900466115
2022-02-05,116.08454085794206
2022-02-06,118.3051578048227
2022-02-07,117.18858929261253
2022-02-08,114.75067502555925
2022-02-09,112.42691129928086
2022-02-10,113.23557756736047
2022-02-11,114.13294060973465
2022-02-12,114.88201511639728
2022-02-13,113.26757583556603
2022-02-14,116.07413001550282
2022-02-15,115.2646303328996
2022-02-16,114.15350851306683
2022-02-17,115.5009167936878
2022-02-18,120.1866754020069
2022-02-19,119.04961537676047
2022-02-20,117.20711933888326
2022-02-21,121.1549767018508
2022-02-22,120.70138103333976
2022-02-23,120.46987167658718
2022-02-24,123.17809854115555
2022-02-25,123.43811074935718
2022-02-26,124.04078042453328
2022-02-27,124.93811476938122
2022-02-28,126.97082588026151
2022-03-01,131.3937469986751
2022-03-02,129.14823087290966
2022-03-03,127.69882779982483
2022-03-04,127.65258161848159
2022-03-05,129.6613660140555
2022-03-06,129.03754783038892
2022-03-07,129.40063881678708
2022-03-08,130.0488626226192
2022-03-09,130.34408084747827
2022-03-10,126.81704880197282
